0.26890,0.65089,0.83274,0.58342,0.78476,0.84308,0.82208,0.18030
0.26848,0.65014,0.85215,0.57751,0.77649,0.83861,0.82208,0.17712
0.26797,0.65966,0.82362,0.57160,0.76455,0.80788,0.78625,0.17362
0.26745,0.66834,0.80837,0.56569,0.75261,0.79961,0.78625,0.17164
0.26694,0.64719,0.76195,0.55978,0.74533,0.77312,0.74614,0.16697
0.26642,0.63366,0.77462,0.55508,0.75606,0.81134,0.78637,0.16368
0.26590,0.65401,0.77442,0.55176,0.76679,0.85166,0.82079,0.16025
0.26539,0.67229,0.77400,0.54844,0.76124,0.80561,0.82208,0.15824
0.26348,0.63934,0.76210,0.54512,0.75325,0.81117,0.78900,0.15704
0.25271,0.66222,0.77037,0.54180,0.74525,0.81316,0.78900,0.15479
0.24194,0.65264,0.75953,0.53847,0.72512,0.80075,0.78900,0.15477
0.23117,0.62836,0.73648,0.53515,0.70320,0.77466,0.74216,0.15599
0.22040,0.64369,0.67718,0.53183,0.68128,0.72846,0.72009,0.15584
0.20964,0.62205,0.54615,0.52851,0.68164,0.72188,0.70129,0.15704
0.20081,0.62630,0.39975,0.52519,0.68526,0.74914,0.71751,0.15916
0.20464,0.66604,0.41584,0.52186,0.69711,0.80730,0.75426,0.16384
0.20847,0.64667,0.39353,0.51854,0.71016,0.81204,0.79777,0.16701
0.21230,0.64349,0.40742,0.51522,0.72322,0.78856,0.76860,0.17251
0.16221,0.64802,0.40327,0.51190,0.73032,0.79221,0.77154,0.17835
0.23297,0.65006,0.42118,0.50858,0.72738,0.79106,0.79391,0.18713
0.23410,0.66856,0.42503,0.50525,0.72444,0.76578,0.76576,0.19605
0.23524,0.63907,0.43341,0.50193,0.72150,0.77440,0.76640,0.20505
0.23638,0.66292,0.42831,0.50167,0.71879,0.76980,0.75872,0.20952
0.23751,0.63818,0.39764,0.50488,0.71699,0.75037,0.73342,0.21724
0.23865,0.64492,0.42705,0.50808,0.71519,0.78047,0.76909,0.22518
0.23978,0.66890,0.41248,0.51129,0.71339,0.79760,0.78425,0.23545
0.24092,0.65814,0.34141,0.51449,0.71159,0.75763,0.76273,0.24101
0.24206,0.63964,0.41902,0.51770,0.70714,0.81610,0.79727,0.24420
0.24319,0.68229,0.36661,0.52090,0.69927,0.75727,0.77451,0.24874
0.24433,0.62778,0.26455,0.52662,0.68627,0.75168,0.72477,0.25090
0.07281,0.64302,0.29756,0.53518,0.70918,0.78024,0.79339,0.24885
0.13206,0.64729,0.14761,0.54374,0.70422,0.79172,0.76960,0.25192
0.14004,0.66483,0.20091,0.55230,0.73735,0.82623,0.80775,0.25753
0.13542,0.66495,0.22386,0.55198,0.73234,0.82893,0.82702,0.26421
0.13080,0.66648,0.28040,0.54944,0.72732,0.81316,0.81331,0.27010
0.11081,0.66415,0.34875,0.54690,0.72096,0.77512,0.75972,0.27675
0.05540,0.63762,0.27286,0.54435,0.68125,0.74390,0.73167,0.27988
0.00000,0.63356,0.19718,0.54181,0.68607,0.74017,0.72285,0.28343
